,12/31/1999,12/31/2000,12/31/2001,12/31/2002,12/31/2003,12/31/2004,12/31/2005,12/31/2006,12/31/2007,12/31/2008,12/31/2009,12/31/2010,12/31/2011,12/31/2012,12/31/2013,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023,12/31/2024
NXGB,3.299999952316284,0.3499999940395355,0.3499999940395355,1.0,0.05000000074505806,0.05000000074505806,0.05999999865889549,0.15000000596046448,0.10000000149011612,0.05999999865889549,0.009999999776482582,0.0005000000237487257,0.0007999999797903001,0.0010999999940395355,0.002199999988079071,0.0026000000070780516,0.009999999776482582,0.30000001192092896,0.07999999821186066,0.5199999809265137,0.07000000029802322,0.10999999940395355,0.15139999985694885,0.028999999165534973,0.006300000008195639,0.0003000000142492354
BZRD,,,,,0.02500000037252903,0.18000000715255737,0.0689999982714653,0.02199999988079071,0.02500000037252903,0.009999999776482582,0.003599999938160181,0.0010999999940395355,0.0002099999983329326,0.00033000000985339284,0.0003100000030826777,0.0003100000030826777,0.0005000000237487257,0.0005000000237487257,0.0005000000237487257,0.0006099999882280827,0.016759999096393585,0.03790000081062317,0.012000000104308128,0.0003000000142492354,0.0032999999821186066,0.009999999776482582
WTER,,,,,,,,,,,,,,,212.25,62.17499923706055,33.75,14.999999046325684,15.59999942779541,48.599998474121094,18.899999618530273,14.999999046325684,18.299999237060547,2.6204988956451416,0.2619999945163727,0.03999999910593033
BAC-PL,,,,,,,,,,234.23316955566406,346.4913024902344,406.3935852050781,362.308837890625,560.5107421875,559.657958984375,650.634765625,651.6797485351562,732.3704223632812,876.2656860351562,880.5873413085938,1085.3701171875,1185.6541748046875,1179.201416015625,996.9197387695312,1102.0458984375,1166.2437744140625
BAC-PM,,,,,,,,,,,,,,,,,,,,,19.28683090209961,20.904438018798828,21.668405532836914,17.828184127807617,20.780181884765625,21.60521125793457
HPE-PC,,,,,,,,,,,,,,,,,,,,,,,,,,58.830448150634766
BAC-PN,,,,,,,,,,,,,,,,,,,,,19.039531707763672,20.977670669555664,21.453533172607422,16.579559326171875,19.457958221435547,20.465435028076172
BAC-PO,,,,,,,,,,,,,,,,,,,,,,20.971311569213867,21.231477737426758,14.959511756896973,17.57974624633789,18.303733825683594
BAC-PP,,,,,,,,,,,,,,,,,,,,,,,21.067546844482422,14.242753982543945,16.64504051208496,17.274551391601562
BAC-PQ,,,,,,,,,,,,,,,,,,,,,,,20.373851776123047,14.44809627532959,16.740449905395508,17.61855125427246
BAC-PS,,,,,,,,,,,,,,,,,,,,,,,,16.032520294189453,18.80249786376953,19.619876861572266
